"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","603","testTransferLimits","Surefire suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3699","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","3627","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","174","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","5156","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","127","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","129","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","166","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","142","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
"","232","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
